"location_name","iso3","pp_cov","sp_cov","cause"
"Angola","AGO",0.0658792653269848,0.00901123838375928,"istroke"
"Antigua and Barbuda","ATG",0.148568593120298,0.159655562405494,"istroke"
"Argentina","ARG",0.0982866495957028,0.0880554108428361,"istroke"
"Armenia","ARM",0.0527687709640891,0.0462953582131592,"istroke"
"Australia","AUS",0.201232676175769,0.220908119664588,"istroke"
"Austria","AUT",0.20799446082168,0.239521060462265,"istroke"
"Azerbaijan","AZE",0.0813422717396868,0.0762286108386115,"istroke"
"Bahamas","BHS",0.148400924758233,0.184512004977295,"istroke"
"Bahrain","BHR",0.124565898493061,0.172788516708904,"istroke"
"Bangladesh","BGD",0.081701525079472,0.00876826197358454,"istroke"
"Barbados","BRB",0.219467680340965,0.163398500000186,"istroke"
"Belarus","BLR",0.0633746084878248,0.0805825290181574,"istroke"
"Belgium","BEL",0.292721521924105,0.249480218808223,"istroke"
"Belize","BLZ",0.122428930765941,0.0171611599019087,"istroke"
"Benin","BEN",0.0504227688746335,0.00449107321677344,"istroke"
"Bhutan","BTN",0.0492309497013869,0.0110797862751183,"istroke"
"Bolivia (Plurinational State of)","BOL",0.153273472267961,0.016256210610006,"istroke"
"Bosnia and Herzegovina","BIH",0.106241899377804,0.0852342042255805,"istroke"
"Botswana","BWA",0.101831274542559,0.0727300703990719,"istroke"
"Brazil","BRA",0.208486694178139,0.110552999852968,"istroke"
"Brunei Darussalam","BRN",0.224315695416694,0.255287448866715,"istroke"
"Bulgaria","BGR",0.153702605345382,0.11492302003106,"istroke"
"Burkina Faso","BFA",0.0434593696877826,0.000412650835903616,"istroke"
"Burundi","BDI",0.0573590321235594,0.000268287445274768,"istroke"
"Cabo Verde","CPV",0.0747378168805837,0.0121827840477871,"istroke"
"Cambodia","KHM",0.11746579350651,0.00840740735989808,"istroke"
"Cameroon","CMR",0.0375198059718392,0.00480324200011368,"istroke"
"Canada","CAN",0.468199043174673,0.285348034108513,"istroke"
"Central African Republic","CAF",0.031053560341979,0.000220552523760778,"istroke"
"Chad","TCD",0.0598331336274364,0.000557646083472089,"istroke"
"Chile","CHL",0.223929135779199,0.186205903339154,"istroke"
"China","CHN",0.0995241735219036,0.0759518082872083,"istroke"
"Colombia","COL",0.199305254633864,0.0934899227776372,"istroke"
"Comoros","COM",0.0580302959544666,0.00352483359089231,"istroke"
"Congo","COG",0.0515599125981508,0.00773614878394239,"istroke"
"Costa Rica","CRI",0.316694740771892,0.12997583731729,"istroke"
"Croatia","HRV",0.136299410626006,0.18154255430578,"istroke"
"Cuba","CUB",0.201132814448597,0.0832431315379027,"istroke"
"Cyprus","CYP",0.237458934915038,0.206884890810721,"istroke"
"Czechia","CZE",0.268031141033038,0.237689135603901,"istroke"
"Côte d'Ivoire","CIV",0.0465413899886606,0.00610113255816197,"istroke"
"Democratic People's Republic of Korea","PRK",0.12928672495307,0.000877392822439652,"istroke"
"Democratic Republic of the Congo","COD",0.0620362164214753,0.000329282404312838,"istroke"
"Denmark","DNK",0.0815760503547993,0.171524948022565,"istroke"
"Djibouti","DJI",0.0600710100773476,0.00592749709250807,"istroke"
"Dominica","DMA",0.106842636039177,0.069767906543084,"istroke"
"Dominican Republic","DOM",0.130863102909227,0.0937513477354158,"istroke"
"Ecuador","ECU",0.173868579281704,0.0768490978036783,"istroke"
"Egypt","EGY",0.108053891745074,0.0193583491992065,"istroke"
"El Salvador","SLV",0.223209681286903,0.0239023930172315,"istroke"
"Equatorial Guinea","GNQ",0.0702471245030959,0.0787457008674718,"istroke"
"Eritrea","ERI",0.06854188635412,0.000463716567796183,"istroke"
"Estonia","EST",0.106231620203796,0.15131562693363,"istroke"
"Eswatini","SWZ",0.0656127191501087,0.0131102922250136,"istroke"
"Ethiopia","ETH",0.0313709875052252,0.000338341279179917,"istroke"
"Fiji","FJI",0.0718891251204892,0.0482061970600652,"istroke"
"Finland","FIN",0.21587254904703,0.22685107474478,"istroke"
"France","FRA",0.215902949011632,0.225908618253366,"istroke"
"Gabon","GAB",0.074622273977798,0.0597893492287961,"istroke"
"Gambia","GMB",0.0487421862559881,0.00053391067889952,"istroke"
"Georgia","GEO",0.104746579711166,0.073328864135735,"istroke"
"Germany","DEU",0.354691523295923,0.265494195418449,"istroke"
"Ghana","GHA",0.0977177710320717,0.00862927230200398,"istroke"
"Greece","GRC",0.243666539853146,0.214921582041971,"istroke"
"Grenada","GRD",0.118990798718342,0.0854664459357936,"istroke"
"Guatemala","GTM",0.105400466042436,0.0440303231203989,"istroke"
"Guinea","GIN",0.0366215845558292,0.000457179515499948,"istroke"
"Guinea-Bissau","GNB",0.0575903889959539,0.000459395511892046,"istroke"
"Guyana","GUY",0.117290225543796,0.057599122111852,"istroke"
"Haiti","HTI",0.0436098428388878,0.00408879683691134,"istroke"
"Honduras","HND",0.182554728715918,0.0157428723866516,"istroke"
"Hungary","HUN",0.16205439252193,0.190200491508295,"istroke"
"Iceland","ISL",0.395554580849768,0.280674085750569,"istroke"
"India","IND",0.0847280649039034,0.0107613287752623,"istroke"
"Indonesia","IDN",0.0258171453792817,0.0110744435744523,"istroke"
"Iran (Islamic Republic of)","IRN",0.143691203721471,0.025636770490494,"istroke"
"Iraq","IRQ",0.0728972013308214,0.0686466948628653,"istroke"
"Ireland","IRL",0.195950979521129,0.227206438580125,"istroke"
"Israel","ISR",0.196757161893282,0.206038867264722,"istroke"
"Italy","ITA",0.210355815421207,0.223012106910102,"istroke"
"Jamaica","JAM",0.111880896738804,0.0660253739788572,"istroke"
"Japan","JPN",0.229760217378111,0.223889193306972,"istroke"
"Jordan","JOR",0.18223453908542,0.08285483040086,"istroke"
"Kazakhstan","KAZ",0.198165024078771,0.147794131682333,"istroke"
"Kenya","KEN",0.0298435068690187,0.00387991140527334,"istroke"
"Kiribati","KIR",0.0350749792609029,0.00309093902444321,"istroke"
"Kuwait","KWT",0.225048718854755,0.245575443949726,"istroke"
"Kyrgyzstan","KGZ",0.0572719334871555,0.00859111811923042,"istroke"
"Lao People's Democratic Republic","LAO",0.078964260249658,0.0108533061675648,"istroke"
"Latvia","LVA",0.118628876261471,0.17442904269576,"istroke"
"Lebanon","LBN",0.166992535833525,0.0908217154624009,"istroke"
"Lesotho","LSO",0.097864672930122,0.00811935586541911,"istroke"
"Liberia","LBR",0.0452071625358117,0.000344420310665748,"istroke"
"Libya","LBY",0.0608184361513889,0.0535803556792871,"istroke"
"Lithuania","LTU",0.091398229173902,0.173780188318688,"istroke"
"Luxembourg","LUX",0.253430993756165,0.275187013488177,"istroke"
"Madagascar","MDG",0.0326530014325401,0.000316196261613775,"istroke"
"Malawi","MWI",0.0493183009538977,0.00031761368789942,"istroke"
"Malaysia","MYS",0.121427620118976,0.105039755744611,"istroke"
"Maldives","MDV",0.0799456498414107,0.0576374124164895,"istroke"
"Mali","MLI",0.0755838404699888,0.000646293521297746,"istroke"
"Malta","MLT",0.338566818517401,0.252717757276057,"istroke"
"Marshall Islands","MHL",0.0827947867450973,0.0259385694243001,"istroke"
"Mauritania","MRT",0.0581615365971764,0.00617474322310934,"istroke"
"Mauritius","MUS",0.227367921475422,0.12788012646229,"istroke"
"Mexico","MEX",0.170064906457966,0.0970920812774944,"istroke"
"Micronesia (Federated States of)","FSM",0.0783268026986581,0.00675747365790168,"istroke"
"Mongolia","MNG",0.151339008347382,0.0240008609349673,"istroke"
"Montenegro","MNE",0.151999322577936,0.10889861536678,"istroke"
"Morocco","MAR",0.0583953338742156,0.0125998910676542,"istroke"
"Mozambique","MOZ",0.0379030221243931,0.000275687349201774,"istroke"
"Myanmar","MMR",0.0844981058289355,0.0106972164935876,"istroke"
"Namibia","NAM",0.115090034033993,0.062052368985792,"istroke"
"Nepal","NPL",0.0401656325967694,0.00407064245186275,"istroke"
"Netherlands","NLD",0.176805471426241,0.216555996132056,"istroke"
"New Zealand","NZL",0.209540115533313,0.207203000388342,"istroke"
"Nicaragua","NIC",0.192749854004073,0.0170137990677702,"istroke"
"Niger","NER",0.0322308975002906,0.000233498041053631,"istroke"
"Nigeria","NGA",0.0610067575245572,0.00918560581067759,"istroke"
"North Macedonia","MKD",0.146681793543879,0.0960840893202441,"istroke"
"Norway","NOR",0.229183688903838,0.24834124854779,"istroke"
"Oman","OMN",0.0803822216014914,0.140708439694397,"istroke"
"Pakistan","PAK",0.063658536592133,0.00957298043712268,"istroke"
"Palestine","PSE",0.102942058272751,0.0128738367949801,"istroke"
"Panama","PAN",0.183606234007246,0.119304632377117,"istroke"
"Papua New Guinea","PNG",0.0560151159863044,0.00518496177418261,"istroke"
"Paraguay","PRY",0.075958967495738,0.0538796127522147,"istroke"
"Peru","PER",0.135552396483452,0.0700154089860067,"istroke"
"Philippines","PHL",0.0971655217535373,0.013677226207483,"istroke"
"Poland","POL",0.231720351123852,0.214226252189042,"istroke"
"Portugal","PRT",0.326988558936987,0.230234852552708,"istroke"
"Puerto Rico","PRI",0.163860977206538,0.202084291062059,"istroke"
"Qatar","QAT",0.193077919538667,0.265850811196181,"istroke"
"Republic of Korea","KOR",0.407444309175874,0.270007425906326,"istroke"
"Republic of Moldova","MDA",0.0492506635636765,0.0395634319466556,"istroke"
"Romania","ROU",0.190965804176844,0.132938244662966,"istroke"
"Russian Federation","RUS",0.113422540863056,0.116587077181868,"istroke"
"Rwanda","RWA",0.0299353929916346,0.000296233715335677,"istroke"
"Saint Lucia","LCA",0.13114429231481,0.085232030668975,"istroke"
"Saint Vincent and the Grenadines","VCT",0.124101788604908,0.073030434255885,"istroke"
"Samoa","WSM",0.0583136511437776,0.00794065070317572,"istroke"
