"location_name","iso3","pp_cov","sp_cov"
"Saint Vincent and the Grenadines","VCT",0.0972455343605176,0.073030434255885
"Samoa","WSM",0.0428503466711175,0.00794065070317572
"Sao Tome and Principe","STP",0.0372360921307034,0.00641659267689666
"Saudi Arabia","SAU",0.114489070423892,0.183423498543634
"Senegal","SEN",0.0354134172426179,0.00438813187228493
"Serbia","SRB",0.135749871788501,0.108915271213553
"Seychelles","SYC",0.150750940242309,0.187294644842851
"Sierra Leone","SLE",0.0318641284943682,0.000369708726149022
"Singapore","SGP",0.284092939636056,0.293098035120137
"Slovakia","SVK",0.218863258240157,0.226437370246547
"Slovenia","SVN",0.140475090064878,0.203590261004956
"Solomon Islands","SLB",0.0249780506704874,0.00291702658669998
"Somalia","SOM",0.0352871787963335,0.000101554576142388
"South Africa","ZAF",0.102201204744875,0.0733719772797221
"South Sudan","SSD",0.0464171800566321,0.00148326228174692
"Spain","ESP",0.196677045885747,0.21637363367701
"Sri Lanka","LKA",0.0732589840828008,0.0185418798558532
"Sudan","SDN",0.0305536712538455,0.000761775724887419
"Suriname","SUR",0.101325031275877,0.0855974792046538
"Sweden","SWE",0.12969752701199,0.206826486786203
"Switzerland","CHE",0.256500556460415,0.263423772451805
"Syrian Arab Republic","SYR",0.0836361718687604,0.00146637893397788
"Taiwan (Province of China)","TWN",0.280097242873696,0.254869399906355
"Tajikistan","TJK",0.0314430292430867,0.00677921202252316
"Thailand","THA",0.133139532824093,0.0895226899654651
"Timor-Leste","TLS",0.0469092916815556,0.00829054299185721
"Togo","TGO",0.0348706138478709,0.000403713066945001
"Tonga","TON",0.0387134132144974,0.0299294812359531
"Trinidad and Tobago","TTO",0.115016151112532,0.168232141921457
"Tunisia","TUN",0.0662563591846267,0.0179642414442052
"Turkey","TUR",0.171875399546291,0.123095445344748
"Turkmenistan","TKM",0.0539588759313905,0.0904519061167729
"Uganda","UGA",0.027806443118518,0.000417294934943598
"Ukraine","UKR",0.0648481096033284,0.0199803323215486
"United Arab Emirates","ARE",0.101966048912939,0.184852123983058
"United Kingdom","GBR",0.194802860150305,0.212103737314713
"United Republic of Tanzania","TZA",0.0263038391128263,0.00356565142438916
"United States of America","USA",0.349577677890869,0.291369933553653
"Uruguay","URY",0.162772859417579,0.168861134187053
"Uzbekistan","UZB",0.0754596456699003,0.015054308022863
"Vanuatu","VUT",0.0195505705826733,0.00363775100629171
"Venezuela (Bolivarian Republic of)","VEN",0.162784744534173,0.0972427608856035
"Viet Nam","VNM",0.053636751065135,0.00966964474596468
"Yemen","YEM",0.0653151251191841,0.000763634724932089
"Zambia","ZMB",0.0343277683771409,0.00572039091344853
"Zimbabwe","ZWE",0.0592550549324116,0.00517340794710996
"Afghanistan","AFG",0.0775696330870099,0.000616157857997943
"Albania","ALB",0.0546817751967151,0.0515275666522732
"Algeria","DZA",0.0914743044832483,0.0166915859700791
"Andorra","AND",0.27331946694578,0.272660293272904
"Angola","AGO",0.0658792653269848,0.0065668477309737
"Antigua and Barbuda","ATG",0.148568593120298,0.150368560354075
