"location_name","year","scenario","Control","Treated","Aware"
"Bolivia (Plurinational State of)",2035,"Scenario 1",0.285098787911513,0.331594663113441,0.66034288912126
"Bolivia (Plurinational State of)",2035,"Scenario 2",0.35890632214166,0.417439238699205,0.66034288912126
"Bolivia (Plurinational State of)",2035,"Scenario 3",0.429563283316035,0.499619424061861,0.79034288912126
"Bolivia (Plurinational State of)",2035,"Scenario 4",0.60308837620102,0.70144418501028,0.92034288912126
"Bolivia (Plurinational State of)",2036,"Baseline",0.20365770419374,0.336746206275109,0.66466583485863
"Bolivia (Plurinational State of)",2036,"Scenario 1",0.297946641950771,0.336746206275109,0.66466583485863
"Bolivia (Plurinational State of)",2036,"Scenario 2",0.380278359355553,0.429799423155317,0.66466583485863
"Bolivia (Plurinational State of)",2036,"Scenario 3",0.460377211316405,0.52032900371446,0.80466583485863
"Bolivia (Plurinational State of)",2036,"Scenario 4",0.657491195511451,0.743111801153812,0.94466583485863
"Bolivia (Plurinational State of)",2037,"Baseline",0.208505304481411,0.341934740036158,0.668985292851623
"Bolivia (Plurinational State of)",2037,"Scenario 1",0.311085726492258,0.341934740036158,0.668985292851623
"Bolivia (Plurinational State of)",2037,"Scenario 2",0.402380241850968,0.442282533963902,0.668985292851623
"Bolivia (Plurinational State of)",2037,"Scenario 3",0.492602010434799,0.541451201501859,0.818985292851623
"Bolivia (Plurinational State of)",2037,"Scenario 4",0.701048325517095,0.770568227740393,0.95
"Bolivia (Plurinational State of)",2038,"Baseline",0.21342750596052,0.347160223303092,0.673301274406878
"Bolivia (Plurinational State of)",2038,"Scenario 1",0.324518777417509,0.347160223303092,0.673301274406878
"Bolivia (Plurinational State of)",2038,"Scenario 2",0.425221054573684,0.454888427208193,0.673301274406878
"Bolivia (Plurinational State of)",2038,"Scenario 3",0.526268492500669,0.562985873507289,0.833301274406878
"Bolivia (Plurinational State of)",2038,"Scenario 4",0.742055873254502,0.793828587400886,0.95
"Bolivia (Plurinational State of)",2039,"Baseline",0.218424837518578,0.352422615166172,0.677613790794378
"Bolivia (Plurinational State of)",2039,"Scenario 1",0.334801484407864,0.352422615166172,0.677613790794378
"Bolivia (Plurinational State of)",2039,"Scenario 2",0.444236111621156,0.467616959601217,0.677613790794378
"Bolivia (Plurinational State of)",2039,"Scenario 3",0.55568623262159,0.584932876443779,0.847613790794378
"Bolivia (Plurinational State of)",2039,"Scenario 4",0.77623449970831,0.817088947061379,0.95
"Bolivia (Plurinational State of)",2040,"Baseline",0.223497827339234,0.357721874898661,0.681922853247571
"Bolivia (Plurinational State of)",2040,"Scenario 1",0.339835781153728,0.357721874898661,0.681922853247571
"Bolivia (Plurinational State of)",2040,"Scenario 2",0.456444589059063,0.480467988483224,0.681922853247571
"Bolivia (Plurinational State of)",2040,"Scenario 3",0.576927464269,0.607292067651579,0.861922853247571
"Bolivia (Plurinational State of)",2040,"Scenario 4",0.798331841385779,0.840349306721872,0.95
"Bolivia (Plurinational State of)",2041,"Baseline",0.228647002906379,0.363057961956063,0.686228472963489
"Bolivia (Plurinational State of)",2041,"Scenario 1",0.34490506385826,0.363057961956063,0.686228472963489
"Bolivia (Plurinational State of)",2041,"Scenario 2",0.468769303228169,0.493441371819126,0.686228472963489
"Bolivia (Plurinational State of)",2041,"Scenario 3",0.598560139840819,0.630063305095599,0.876228472963489
"Bolivia (Plurinational State of)",2041,"Scenario 4",0.820429183063247,0.863609666382366,0.95
"Bolivia (Plurinational State of)",2042,"Baseline",0.233872891008215,0.368430835975371,0.690530661102865
"Bolivia (Plurinational State of)",2042,"Scenario 1",0.350009294176602,0.368430835975371,0.690530661102865
"Bolivia (Plurinational State of)",2042,"Scenario 2",0.481210119786147,0.506536968195944,0.690530661102865
"Bolivia (Plurinational State of)",2042,"Scenario 3",0.620584124994718,0.653246447362861,0.890530661102865
"Bolivia (Plurinational State of)",2042,"Scenario 4",0.833891884834918,0.877780931405177,0.95
"Bolivia (Plurinational State of)",2043,"Baseline",0.239176017741322,0.373840456774317,0.694829428790251
"Bolivia (Plurinational State of)",2043,"Scenario 1",0.355148433935601,0.373840456774317,0.694829428790251
"Bolivia (Plurinational State of)",2043,"Scenario 2",0.493766904979256,0.51975463682027,0.694829428790251
"Bolivia (Plurinational State of)",2043,"Scenario 3",0.64299928597696,0.676841353659958,0.904829428790251
"Bolivia (Plurinational State of)",2043,"Scenario 4",0.841257665394074,0.885534384625342,0.95
"Bolivia (Plurinational State of)",2044,"Baseline",0.244556908514685,0.379286784350625,0.699124787114136
"Bolivia (Plurinational State of)",2044,"Scenario 1",0.360322445133094,0.379286784350625,0.699124787114136
"Bolivia (Plurinational State of)",2044,"Scenario 2",0.506439525639949,0.533094237515735,0.699124787114136
"Bolivia (Plurinational State of)",2044,"Scenario 3",0.665805489619995,0.700847883810521,0.919124787114136
"Bolivia (Plurinational State of)",2044,"Scenario 4",0.848623445953231,0.893287837845506,0.95
"Bolivia (Plurinational State of)",2045,"Baseline",0.250016088053716,0.384769778881265,0.703416747127059
"Bolivia (Plurinational State of)",2045,"Scenario 1",0.365531289937202,0.384769778881265,0.703416747127059
"Bolivia (Plurinational State of)",2045,"Scenario 2",0.519227849184464,0.546555630720489,0.703416747127059
"Bolivia (Plurinational State of)",2045,"Scenario 3",0.689002603340062,0.725265898252697,0.933416747127059
"Bolivia (Plurinational State of)",2045,"Scenario 4",0.855989226512387,0.90104129106567,0.95
"Bolivia (Plurinational State of)",2046,"Baseline",0.25555408040425,0.39028940072171,0.707705319845732
"Bolivia (Plurinational State of)",2046,"Scenario 1",0.370774930685625,0.39028940072171,0.707705319845732
"Bolivia (Plurinational State of)",2046,"Scenario 2",0.532131743610452,0.560138677484686,0.707705319845732
"Bolivia (Plurinational State of)",2046,"Scenario 3",0.712590495134811,0.750095258036644,0.947705319845732
"Bolivia (Plurinational State of)",2046,"Scenario 4",0.857375,0.9025,0.95
"Bolivia (Plurinational State of)",2047,"Baseline",0.261171408936514,0.395845610405201,0.711990516251152
"Bolivia (Plurinational State of)",2047,"Scenario 1",0.376053329884941,0.395845610405201,0.711990516251152
"Bolivia (Plurinational State of)",2047,"Scenario 2",0.545151077494589,0.573843239467989,0.711990516251152
"Bolivia (Plurinational State of)",2047,"Scenario 3",0.727388233128059,0.765671824345325,0.95
"Bolivia (Plurinational State of)",2047,"Scenario 4",0.857375,0.9025,0.95
"Bolivia (Plurinational State of)",2048,"Baseline",0.266868596349089,0.401438368642005,0.716272347288716
"Bolivia (Plurinational State of)",2048,"Scenario 1",0.381366450209905,0.401438368642005,0.716272347288716
"Bolivia (Plurinational State of)",2048,"Scenario 2",0.558285719990218,0.587669178937072,0.716272347288716
"Bolivia (Plurinational State of)",2048,"Scenario 3",0.740460574805528,0.779432184005818,0.95
"Bolivia (Plurinational State of)",2048,"Scenario 4",0.857375,0.9025,0.95
"Bolivia (Plurinational State of)",2049,"Baseline",0.272646164672839,0.407067636318691,0.720550823868341
"Bolivia (Plurinational State of)",2049,"Scenario 1",0.386714254502756,0.407067636318691,0.720550823868341
"Bolivia (Plurinational State of)",2049,"Scenario 2",0.571535540824986,0.601616358763143,0.720550823868341
"Bolivia (Plurinational State of)",2049,"Scenario 3",0.753532916482996,0.793192543666312,0.95
